/Users/rohanmehta/anaconda3/envs/jax/lib/python3.11/site-packages/haliax/nn/__init__.py:159: UserWarning: target_y has dtype uint8, which is not a floating point type. This is probably a mistake.
  warnings.warn(
Step: 0 | Average Train Loss: 200634496.00 | Average Val Loss: 195769936.00
Saving checkpoint to
step: 1, loss: 9960122.0000 time: 5342.52ms, mfu: 0.00%
step: 69, loss: 10381605.0000 time: 236.40ms, mfu: 0.04%
step: 70, loss: 10225942.0000 time: 252.89ms, mfu: 0.04%
step: 71, loss: 10072413.0000 time: 245.43ms, mfu: 0.04%
step: 72, loss: 9896138.0000 time: 280.55ms, mfu: 0.04%
step: 73, loss: 10181173.0000 time: 408.68ms, mfu: 0.04%
step: 74, loss: 9809431.0000 time: 443.55ms, mfu: 0.04%
step: 75, loss: 9535774.0000 time: 246.87ms, mfu: 0.04%
step: 76, loss: 9898986.0000 time: 238.52ms, mfu: 0.04%
step: 77, loss: 10257928.0000 time: 244.90ms, mfu: 0.04%
step: 78, loss: 10220255.0000 time: 247.06ms, mfu: 0.04%
step: 79, loss: 10316210.0000 time: 258.29ms, mfu: 0.04%
step: 80, loss: 10244413.0000 time: 251.26ms, mfu: 0.04%
step: 81, loss: 9626043.0000 time: 278.33ms, mfu: 0.04%
step: 82, loss: 10191824.0000 time: 276.24ms, mfu: 0.04%
step: 83, loss: 9835730.0000 time: 243.61ms, mfu: 0.04%
step: 84, loss: 10331144.0000 time: 247.44ms, mfu: 0.04%
step: 85, loss: 9798056.0000 time: 245.06ms, mfu: 0.04%
step: 86, loss: 9879790.0000 time: 247.21ms, mfu: 0.04%
step: 87, loss: 10080230.0000 time: 239.43ms, mfu: 0.04%
step: 88, loss: 10079524.0000 time: 248.79ms, mfu: 0.04%
step: 89, loss: 10213854.0000 time: 253.23ms, mfu: 0.04%
step: 90, loss: 10456943.0000 time: 260.75ms, mfu: 0.04%
step: 91, loss: 10289206.0000 time: 342.61ms, mfu: 0.04%
step: 92, loss: 9536493.0000 time: 241.90ms, mfu: 0.04%
step: 93, loss: 10036872.0000 time: 245.42ms, mfu: 0.04%
step: 94, loss: 9725558.0000 time: 246.72ms, mfu: 0.04%
step: 95, loss: 9654484.0000 time: 249.74ms, mfu: 0.04%
step: 96, loss: 10116475.0000 time: 329.18ms, mfu: 0.04%
step: 97, loss: 10070999.0000 time: 263.13ms, mfu: 0.04%
step: 98, loss: 9970054.0000 time: 278.27ms, mfu: 0.04%
step: 99, loss: 9833589.0000 time: 265.11ms, mfu: 0.04%
step: 100, loss: 10134256.0000 time: 240.14ms, mfu: 0.04%
Step: 100 | Average Train Loss: 200593952.00 | Average Val Loss: 195428048.00
Saving checkpoint to
step: 101, loss: 10471164.0000 time: 5129.54ms, mfu: 0.04%
