/Users/rohanmehta/anaconda3/envs/jax/lib/python3.11/site-packages/haliax/nn/__init__.py:159: UserWarning: target_y has dtype uint8, which is not a floating point type. This is probably a mistake.
  warnings.warn(
Step: 0 | Average Train Loss: 200634496.00 | Average Val Loss: 195769936.00
Saving checkpoint to
step: 1, loss: 9960122.0000 time: 5210.82ms, mfu: 0.00%
step: 48, loss: 9874111.0000 time: 245.96ms, mfu: 0.04%
step: 49, loss: 10279242.0000 time: 235.16ms, mfu: 0.04%
step: 50, loss: 10442736.0000 time: 246.65ms, mfu: 0.04%
Step: 50 | Average Train Loss: 201377952.00 | Average Val Loss: 198878144.00
Saving checkpoint to
step: 51, loss: 9736218.0000 time: 5164.54ms, mfu: 0.04%
step: 52, loss: 10307687.0000 time: 357.11ms, mfu: 0.04%
step: 53, loss: 9522275.0000 time: 263.83ms, mfu: 0.04%
step: 54, loss: 9749011.0000 time: 242.16ms, mfu: 0.04%
step: 55, loss: 9877652.0000 time: 235.09ms, mfu: 0.04%
step: 56, loss: 10545088.0000 time: 243.39ms, mfu: 0.04%
step: 57, loss: 10056070.0000 time: 251.67ms, mfu: 0.04%
step: 58, loss: 9908936.0000 time: 246.72ms, mfu: 0.04%
step: 59, loss: 10208170.0000 time: 236.26ms, mfu: 0.04%
step: 60, loss: 10558581.0000 time: 235.86ms, mfu: 0.04%
step: 61, loss: 10389418.0000 time: 259.13ms, mfu: 0.04%
step: 62, loss: 10011286.0000 time: 249.50ms, mfu: 0.04%
step: 63, loss: 10395820.0000 time: 234.39ms, mfu: 0.04%
step: 64, loss: 10164106.0000 time: 260.93ms, mfu: 0.04%
step: 65, loss: 9770328.0000 time: 248.70ms, mfu: 0.04%
step: 66, loss: 10316926.0000 time: 236.56ms, mfu: 0.04%
step: 67, loss: 9957990.0000 time: 253.72ms, mfu: 0.04%
step: 68, loss: 9621785.0000 time: 237.90ms, mfu: 0.04%
step: 69, loss: 10381605.0000 time: 245.14ms, mfu: 0.04%
step: 70, loss: 10225942.0000 time: 236.72ms, mfu: 0.04%
step: 71, loss: 10072413.0000 time: 249.10ms, mfu: 0.04%
step: 72, loss: 9896138.0000 time: 253.70ms, mfu: 0.04%
step: 73, loss: 10181173.0000 time: 244.71ms, mfu: 0.04%
step: 74, loss: 9809431.0000 time: 233.81ms, mfu: 0.04%
step: 75, loss: 9535774.0000 time: 235.33ms, mfu: 0.04%
step: 76, loss: 9898986.0000 time: 243.82ms, mfu: 0.04%
step: 77, loss: 10257928.0000 time: 240.55ms, mfu: 0.04%
step: 78, loss: 10220255.0000 time: 234.19ms, mfu: 0.04%
step: 79, loss: 10316210.0000 time: 235.39ms, mfu: 0.04%
step: 80, loss: 10244413.0000 time: 238.16ms, mfu: 0.04%
step: 81, loss: 9626043.0000 time: 236.83ms, mfu: 0.04%
step: 82, loss: 10191824.0000 time: 261.38ms, mfu: 0.04%
step: 83, loss: 9835730.0000 time: 250.37ms, mfu: 0.04%
step: 84, loss: 10331144.0000 time: 236.17ms, mfu: 0.04%
step: 85, loss: 9798056.0000 time: 235.89ms, mfu: 0.04%
step: 86, loss: 9879790.0000 time: 233.58ms, mfu: 0.04%
step: 87, loss: 10080230.0000 time: 242.72ms, mfu: 0.04%
step: 88, loss: 10079524.0000 time: 235.50ms, mfu: 0.04%
step: 89, loss: 10213854.0000 time: 276.13ms, mfu: 0.04%
step: 90, loss: 10456943.0000 time: 236.13ms, mfu: 0.04%
step: 91, loss: 10289206.0000 time: 234.09ms, mfu: 0.04%
step: 92, loss: 9536493.0000 time: 252.78ms, mfu: 0.04%
step: 93, loss: 10036872.0000 time: 276.48ms, mfu: 0.04%
step: 94, loss: 9725558.0000 time: 237.33ms, mfu: 0.04%
step: 95, loss: 9654484.0000 time: 255.96ms, mfu: 0.04%
step: 96, loss: 10116475.0000 time: 248.98ms, mfu: 0.04%
step: 97, loss: 10070999.0000 time: 410.99ms, mfu: 0.04%
step: 98, loss: 9970054.0000 time: 312.71ms, mfu: 0.04%
step: 99, loss: 9833589.0000 time: 304.48ms, mfu: 0.04%
step: 100, loss: 10134256.0000 time: 373.88ms, mfu: 0.04%
Step: 100 | Average Train Loss: 200593952.00 | Average Val Loss: 195428048.00
Saving checkpoint to
step: 101, loss: 10471164.0000 time: 5282.17ms, mfu: 0.04%
